uniqueID;Spec;Plotname;DBH;CBH1;CBH2;CD1;CD2;meanCD;State;SpecGroup;Height;realX;realY;realZ
BR01_703;FagSyl;BR01;6,1;4,8;6;3,6;3,4;3,5;alive;Broad-leaved;7,298735496;476771,428;5429089,916;259,97
BR01_704;FagSyl;BR01;4,9;7;7;3,7;2,6;3,15;alive;Broad-leaved;5,832070955;476769,3814;5429091,426;259,31
BR01_705;QuePet;BR01;46,5;1,8;7;9,9;7,9;8,9;alive;Broad-leaved;24,939;476770,6655;5429090,516;259,687256
BR01_706;CarBet;BR01;7,8;2,2;NA;5,4;3,5;4,45;alive;Broad-leaved;8,601;476771,4328;5429093,249;259,432709
BR01_707;CarBet;BR01;8;1,3;1,3;6;6,2;6,1;alive;Broad-leaved;7,574;476772,88;5429094,674;259,389496
BR01_708;CarBet;BR01;9,8;1,7;1,7;6,2;4,5;5,35;alive;Broad-leaved;12,83;476775,6485;5429092,202;260,215393
BR01_709;PruAvi;BR01;14,8;2;6,8;5,2;5,3;5,25;alive;Broad-leaved;15,566;476776,1345;5429090,131;260,63208
BR01_71;QuePet;BR01;7,2;2,2;6,9;2,7;3,8;3,25;alive;Broad-leaved;10,914;476763,3723;5429081,047;259,708466
BR01_710;FagSyl;BR01;6,4;5,5;10,5;4,3;4,2;4,25;alive;Broad-leaved;11,696;476777,0563;5429088,465;261,018799
BR01_711;PseMen;BR01;56,3;24,1;24,1;9,1;8,6;8,85;alive;Coniferous;35,603;476776,1528;5429086,5;261,234528
BR01_712;CarBet;BR01;7,7;4;4;4,9;4,6;4,75;alive;Broad-leaved;10,591;476775,5498;5429086,178;261,234894
BR01_715;QuePet;BR01;8,2;4,8;7,3;2,6;2,8;2,7;alive;Broad-leaved;9,149935108;476772,3854;5429084,346;260,86
BR01_716;CarBet;BR01;7,8;1,7;1,7;4,5;3,7;4,1;alive;Broad-leaved;11,334;476773,8368;5429083,365;261,254852
BR01_717;FagSyl;BR01;5,6;5,3;6,4;3,8;4;3,9;alive;Broad-leaved;6,690959522;476770,3794;5429083,948;260,56
BR01_718;CarBet;BR01;5,9;3;3;3,1;4,3;3,7;alive;Broad-leaved;6,245626724;476776,3576;5429081,744;261,95
BR01_719;FagSyl;BR01;8,1;5,9;6,2;4,3;3,5;3,9;alive;Broad-leaved;9,636550668;476774,5161;5429084,636;261,34
BR01_72;QuePet;BR01;7,8;5;5;3,1;3,3;3,2;alive;Broad-leaved;8,701924194;476760,7552;5429080,366;259,17
BR01_720;FagSyl;BR01;9,1;1,4;1,4;5,5;5,5;5,5;alive;Broad-leaved;10,73372441;476776,5184;5429086,968;261,21
BR01_721;PruAvi;BR01;16,2;3,3;4,6;7,1;5,6;6,35;alive;Broad-leaved;15,821;476781,4228;5429083,95;262,350281
BR01_722;CarBet;BR01;5,1;1,4;1,4;4,4;4,8;4,6;alive;Broad-leaved;5,416064646;476774,3388;5429088,008;260,65
BR01_723;PruAvi;BR01;18,3;3,2;7,6;7;5,8;6,4;alive;Broad-leaved;17,374;476779,4325;5429091,57;260,870331
BR01_724;CarBet;BR01;8,3;2,1;6,3;4,6;4,4;4,5;alive;Broad-leaved;9,451;476777,4086;5429090,928;260,660431
BR01_725;CarBet;BR01;7,3;1,2;1,2;4,8;5,7;5,25;alive;Broad-leaved;9,889;476779,977;5429094,217;260,458527
BR01_726;FraExc;BR01;11,4;2;2;3,7;2,4;3,05;alive;Broad-leaved;14,41843283;476776,9978;5429089,822;260,72
BR01_727;AcePse;BR01;8,6;8,5;8,5;4,3;4;4,15;alive;Broad-leaved;10,80643797;476777,9679;5429089,428;260,96
BR01_728;PruAvi;BR01;4,7;2;4;4,3;4;4,15;alive;Broad-leaved;7,979;476784,1215;5429085,661;262,578705
BR01_729;AcePse;BR01;6,3;4,9;4,9;3,4;3,7;3,55;alive;Broad-leaved;8,284001702;476780,6233;5429089,319;261,24
BR01_730;CarBet;BR01;5,3;1,2;1,2;4,6;4,3;4,45;alive;Broad-leaved;5,624627205;476780,382;5429090,399;261,21
BR01_731;FagSyl;BR01;51;2,5;2,5;11,3;9,7;10,5;alive;Broad-leaved;30,278;476787,1205;5429089,525;262,503143
BR01_732;FraExc;BR01;6,9;2,2;2,2;5,9;3,9;4,9;alive;Broad-leaved;9,039587897;476780,8484;5429092,616;260,8
BR01_733;FagSyl;BR01;31,4;0,3;0,3;9,8;12,1;10,95;alive;Broad-leaved;23,033;476783,9063;5429094,232;261,078674
BR01_734;AcePse;BR01;5,3;2,5;2,5;3;2,7;2,85;alive;Broad-leaved;7,063525907;476780,8201;5429098,083;259,82
BR01_735;FagSyl;BR01;43,8;0,2;0,2;9,9;9,1;9,5;alive;Broad-leaved;26,967;476786,6293;5429099,796;260,533051
BR01_736;CarBet;BR01;12;2;3,6;6,1;5,5;5,8;alive;Broad-leaved;11,73560873;476771,174;5429095,036;258,95
BR01_737;FagSyl;BR01;6,9;4,4;5,9;3,7;4;3,85;alive;Broad-leaved;8,254360297;476774,0691;5429086,832;260,71
BR01_738;LarDec;BR01;38,2;9,5;9,5;7,4;6,3;6,85;alive;Coniferous;29,674;476776,1528;5429100,766;258,514069
BR01_739;CarBet;BR01;6,3;1;1;5,3;4,3;4,8;alive;Broad-leaved;6,654265908;476773,7504;5429101,116;258,31
BR01_74;QuePet;BR01;4,7;3,8;3,8;2,9;2,6;2,75;alive;Broad-leaved;5,122711165;476760,0547;5429078,934;259,18
BR01_740;FagSyl;BR01;36,9;1;1;11,1;8,9;10;alive;Broad-leaved;22,924;476781,438;5429100,351;259,505646
BR01_741;CarBet;BR01;6;1,6;1,6;5,4;3,4;4,4;alive;Broad-leaved;6,348243838;476774,0418;5429103,733;257,55
BR01_742;FagSyl;BR01;47,9;5,5;6,6;10,7;11,5;11,1;alive;Broad-leaved;25,705;476783,2523;5429080,116;263,337189
BR01_77;PicAbi;BR01;16,2;0,5;6,8;3,3;3,8;3,55;alive;Coniferous;15,77;476757,5493;5429078,799;258,714661
BR01_78;PicAbi;BR01;16,7;1,2;7,4;2,8;3,7;3,25;alive;Coniferous;16,249;476757,6183;5429080,606;258,469879
BR01_79;AcePse;BR01;9,6;6,5;6,5;4,1;4,4;4,25;alive;Broad-leaved;12,119;476759,2813;5429081,477;258,724548
BR01_8;CarBet;BR01;5;1,2;1,2;3,82;3,58;3,7;alive;Broad-leaved;5,311589287;476722,8097;5429020,432;258,07
BR01_80;PicAbi;BR01;14,6;0,2;8,6;2,7;3,3;3;alive;Coniferous;16,717;476757,2535;5429082,401;258,149353
BR01_81;PicAbi;BR01;14,9;0,4;8,5;3,4;3,3;3,35;alive;Coniferous;15,102;476755,8728;5429081,675;257,989319
BR01_82;PicAbi;BR01;18,1;0,6;7,3;2,8;3,4;3,1;alive;Coniferous;15,497;476755,295;5429079,702;258,224426
